kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag,rho_p,Pmin_day,planet_type,is_habitable
7747091,K05418.01,1,0.997,14.2673439,1.21,657.0,44.12,5475.0,0.837,4.567,15.181,5.5,0.22386075217339096,rocky,False
9456887,K05677.01,1,0.884,20.5142642,1.14,598.0,30.28,5221.0,0.936,4.422,14.9,5.5,0.22386075217339096,rocky,False
10525077,K05800.01,1,0.989,11.006795,1.34,874.0,138.34,6091.0,1.047,4.424,15.355,5.5,0.22386075217339096,rocky,False
7770901,K05426.01,1,0.99,124.887214,1.78,435.0,8.48,6103.0,1.234,4.209,13.701,3.0,0.30310889132455354,intermediate,False
8644545,K05552.01,1,0.907,295.958914,2.1,265.0,1.17,5505.0,0.992,4.386,13.344,3.0,0.30310889132455354,intermediate,False
8644911,K05553.01,1,0.994,120.938669,2.32,333.0,2.91,5456.0,0.843,4.477,15.54,3.0,0.30310889132455354,intermediate,False
7836096,K05435.01,1,0.995,15.9961296,1.71,560.0,23.32,4949.0,0.777,4.588,15.951,3.0,0.30310889132455354,intermediate,False
8741367,K05566.01,1,1.0,0.9886684,3.18,3183.0,24258.04,6456.0,2.773,3.725,12.551,1.6,0.4150489428970998,neptune_like,False
9532603,K05688.01,1,0.886,14.5555096,2.03,594.0,29.45,5176.0,0.738,4.612,16.897,3.0,0.30310889132455354,intermediate,False
9575728,K05692.01,1,0.994,2.64181261,0.59,834.0,114.08,4147.0,0.683,4.601,14.137,5.5,0.22386075217339096,rocky,False
10813078,K05831.01,1,1.0,10.552241908,1.75,485.0,13.12,4031.0,0.585,4.666,15.712,3.0,0.30310889132455354,intermediate,False
10850327,K05833.01,1,0.94,440.171272,5.97,334.0,2.96,6261.0,1.679,4.001,13.014,1.6,0.4150489428970998,neptune_like,False
8745553,K05568.01,2,0.814,62.134919,6.71,925.0,172.96,5889.0,4.912,3.358,13.435,1.0,0.525,gas_giant,False
10658177,K05817.01,1,0.95,113.083522,1.59,450.0,9.65,5903.0,1.4,4.179,13.336,5.5,0.22386075217339096,rocky,False
8891684,K05581.01,2,0.968,374.878133,4.27,282.0,1.49,5636.0,1.354,4.218,14.508,1.6,0.4150489428970998,neptune_like,False
9715631,K05706.01,2,0.904,425.483539,3.2,248.0,0.89,5977.0,1.022,4.473,15.807,1.6,0.4150489428970998,neptune_like,False
10777591,K05827.01,2,0.999,6.10968225,0.79,1093.0,337.78,6024.0,1.009,4.309,13.328,5.5,0.22386075217339096,rocky,False
8007174,K05458.01,1,0.99,56.648588,2.19,377.0,4.77,5023.0,0.782,4.565,15.602,3.0,0.30310889132455354,intermediate,False
8009811,K05459.01,1,0.944,53.554546,3.1,769.0,82.79,6039.0,2.622,3.76,11.47,1.6,0.4150489428970998,neptune_like,False
10933306,K05842.01,1,0.995,57.7749373,1.85,524.0,17.82,6277.0,1.097,4.417,14.753,3.0,0.30310889132455354,intermediate,False
8037038,K05466.01,2,1.0,4.09513876,1.75,1122.0,374.3,5858.0,0.963,4.495,15.524,3.0,0.30310889132455354,intermediate,False
9011877,K05597.01,1,0.996,7.77710639,0.73,773.0,84.44,5073.0,0.851,4.481,13.725,5.5,0.22386075217339096,rocky,False
8105398,K05475.01,2,0.999,224.150923,2.41,369.0,4.4,6072.0,1.286,4.133,13.093,3.0,0.30310889132455354,intermediate,False
8105719,K05476.01,1,1.0,148.179343,2.52,367.0,4.29,5635.0,1.183,4.278,15.563,3.0,0.30310889132455354,intermediate,False
9018021,K05600.01,1,0.992,17.168095,4.81,603.0,31.34,5053.0,1.907,3.824,14.498,1.6,0.4150489428970998,neptune_like,False
9047416,K05605.01,1,0.999,9.011888,7.04,1105.0,351.97,5627.0,1.735,4.002,14.321,1.0,0.525,gas_giant,False
9910043,K05732.01,1,0.992,39.399926,1.52,499.0,14.66,5913.0,0.795,4.581,15.453,5.5,0.22386075217339096,rocky,False
8158429,K05482.01,1,1.0,31.707574649,2.96,547.0,21.1,5861.0,0.865,4.546,15.197,3.0,0.30310889132455354,intermediate,False
9993683,K05748.01,1,0.989,29.9371143,1.19,501.0,14.87,5115.0,0.866,4.47,14.489,5.5,0.22386075217339096,rocky,False
9141355,K05622.01,2,0.954,469.61309,3.24,200.0,0.37,5474.0,0.763,4.598,15.696,1.6,0.4150489428970998,neptune_like,False
9157030,K05628.01,1,0.874,24.9093027,1.32,452.0,9.9,4810.0,0.685,4.633,15.712,5.5,0.22386075217339096,rocky,False
9166700,K05632.01,1,0.928,264.466625,2.61,346.0,3.41,6551.0,1.236,4.337,11.154,3.0,0.30310889132455354,intermediate,False
10083325,K05761.01,1,0.986,6.13292733,1.56,1379.0,854.43,5877.0,2.034,3.941,13.421,5.5,0.22386075217339096,rocky,False
